"{439.34942626953125, 447.20208740234375}","{937.8961181640625, 355.8191833496094}","{410.3825988769531, 74.49810791015625}","{542.3729858398438, 165.6414794921875}","{165.18560791015625, 52.9495849609375}","{79.12242126464844, 147.97271728515625}","{326.1698913574219, 267.7135314941406}","{315.6773681640625, 325.9173278808594}","{627.64111328125, 352.6068420410156}","{706.6930541992188, 433.49114990234375}","{624.3651733398438, 488.5118408203125}","{592.9690551757812, 533.1671142578125}","{516.0300903320312, 576.43603515625}","{888.3161010742188, 499.6690673828125}","{988.9813842773438, 710.3314819335938}"
"{439.7939147949219, 448.9142150878906}","{939.0266723632812, 353.0734558105469}","{410.6988525390625, 75.39483642578125}","{544.3765869140625, 168.14324951171875}","{164.30104064941406, 53.3486328125}","{77.89096069335938, 147.06402587890625}","{327.6722412109375, 267.14471435546875}","{315.8028564453125, 327.1007995605469}","{627.3399658203125, 351.63970947265625}","{706.9107055664062, 433.67431640625}","{623.3587646484375, 489.1477355957031}","{590.7987060546875, 533.1387329101562}","{515.782470703125, 574.500244140625}","{886.9139404296875, 500.0719299316406}","{989.65576171875, 707.5877685546875}"
"{436.82830810546875, 450.16973876953125}","{937.9705200195312, 355.1407775878906}","{412.2857971191406, 73.8878173828125}","{545.2472534179688, 169.6593017578125}","{162.25787353515625, 52.781005859375}","{78.01278686523438, 146.37652587890625}","{327.2327575683594, 267.1829833984375}","{315.04388427734375, 326.4750671386719}","{627.5137939453125, 353.7557067871094}","{708.1388549804688, 430.29998779296875}","{621.9406127929688, 488.2414245605469}","{592.3812866210938, 532.193359375}","{516.8966674804688, 576.3592529296875}","{887.44580078125, 499.6973876953125}","{989.4378662109375, 708.640380859375}"
"{438.34136962890625, 450.6631164550781}","{936.300048828125, 354.4637756347656}","{413.0195617675781, 74.08416748046875}","{545.7313842773438, 172.58074951171875}","{161.5959014892578, 54.0792236328125}","{79.02580261230469, 146.99835205078125}","{330.1750183105469, 269.2611999511719}","{314.6161804199219, 326.612548828125}","{626.7069702148438, 353.423095703125}","{710.8058471679688, 430.83905029296875}","{620.646240234375, 487.7857971191406}","{594.255859375, 532.2369384765625}","{517.1259155273438, 576.6241455078125}","{888.3575439453125, 500.22491455078125}","{987.670654296875, 707.4613647460938}"
"{438.3180236816406, 452.8297424316406}","{936.7227783203125, 354.5260009765625}","{411.9027404785156, 70.01318359375}","{545.6464233398438, 173.21099853515625}","{159.60597229003906, 52.1785888671875}","{82.66004180908203, 147.8466796875}","{330.5701904296875, 269.7428283691406}","{314.7901306152344, 325.27691650390625}","{627.1226196289062, 351.4110107421875}","{710.9515991210938, 430.9078063964844}","{621.9176635742188, 488.3045959472656}","{593.829833984375, 534.2333984375}","{518.7368774414062, 575.4252319335938}","{887.7379150390625, 499.74603271484375}","{985.9398803710938, 703.9017944335938}"
"{437.9429016113281, 454.1228942871094}","{938.3471069335938, 355.50433349609375}","{413.993408203125, 72.47271728515625}","{546.4795532226562, 172.8345947265625}","{161.90689086914062, 53.79412841796875}","{81.34257507324219, 148.64337158203125}","{331.80950927734375, 267.803466796875}","{313.24896240234375, 325.73712158203125}","{625.390869140625, 352.91082763671875}","{710.1267700195312, 430.080078125}","{622.3929443359375, 487.74072265625}","{593.3858642578125, 534.5230712890625}","{519.5332641601562, 573.8623046875}","{887.1510620117188, 500.5999450683594}","{985.1502075195312, 703.589599609375}"
"{439.1747131347656, 454.1557922363281}","{939.5781860351562, 355.10186767578125}","{412.8423156738281, 74.55023193359375}","{546.5716552734375, 173.05242919921875}","{161.86569213867188, 55.52874755859375}","{81.00164794921875, 147.3419189453125}","{331.77618408203125, 265.65484619140625}","{312.337158203125, 325.7882080078125}","{625.07763671875, 353.4810791015625}","{709.1472778320312, 429.1127014160156}","{620.2836303710938, 487.97314453125}","{594.3951416015625, 536.6278076171875}","{518.619384765625, 574.0777587890625}","{888.4448852539062, 499.9892883300781}","{986.1553955078125, 702.9572143554688}"
"{437.85516357421875, 454.30523681640625}","{939.543701171875, 354.73345947265625}","{411.1171569824219, 75.06439208984375}","{546.370849609375, 172.5587158203125}","{161.3440399169922, 54.839111328125}","{79.95418548583984, 145.72613525390625}","{331.6865539550781, 262.806884765625}","{313.3105163574219, 327.0113525390625}","{625.0792846679688, 353.81451416015625}","{709.8494262695312, 429.23272705078125}","{619.85888671875, 487.71435546875}","{593.488525390625, 535.7030029296875}","{518.8203125, 574.783447265625}","{888.6959228515625, 500.01617431640625}","{986.5255737304688, 704.48828125}"
"{438.6755065917969, 452.62225341796875}","{939.1890869140625, 355.2984924316406}","{409.43743896484375, 74.52069091796875}","{544.4258422851562, 171.56005859375}","{161.59164428710938, 55.50885009765625}","{82.7988510131836, 144.89752197265625}","{330.83648681640625, 262.1313781738281}","{313.3362121582031, 328.0146484375}","{627.4098510742188, 352.9991760253906}","{711.5419311523438, 427.3896789550781}","{621.4273681640625, 483.6058044433594}","{593.4171142578125, 534.1708984375}","{519.4700317382812, 574.7041625976562}","{888.5592041015625, 498.93389892578125}","{987.9435424804688, 706.2262573242188}"
"{440.1326904296875, 451.8882751464844}","{937.775146484375, 355.6925048828125}","{409.8570861816406, 74.19073486328125}","{542.7688598632812, 171.8228759765625}","{161.0745849609375, 56.80023193359375}","{82.86141967773438, 144.03875732421875}","{328.443603515625, 265.3815002441406}","{312.3941955566406, 326.7386779785156}","{626.5513305664062, 354.2254638671875}","{710.0070190429688, 424.4297790527344}","{619.966796875, 485.01641845703125}","{594.2440795898438, 535.33740234375}","{518.5616455078125, 573.8624267578125}","{887.465087890625, 499.6867370605469}","{988.54931640625, 708.7355346679688}"
