"{741.5608520507812, 426.4775390625}","{897.5996704101562, 530.5802612304688}","{552.2012939453125, 670.4869384765625}","{461.8486633300781, 625.4798583984375}","{78.90242004394531, 641.7014770507812}"
"{741.2496337890625, 429.135986328125}","{898.628173828125, 530.7406616210938}","{552.7680053710938, 668.453125}","{462.7998046875, 624.191650390625}","{80.6177978515625, 643.5744018554688}"
"{742.340087890625, 432.19964599609375}","{899.1531982421875, 529.7207641601562}","{553.4921264648438, 669.1058959960938}","{464.00152587890625, 624.73388671875}","{82.50337982177734, 645.69873046875}"
"{745.1483764648438, 432.3233947753906}","{896.8997802734375, 530.4560546875}","{555.8969116210938, 666.0032958984375}","{464.996337890625, 622.4989013671875}","{82.8492431640625, 644.9984130859375}"
"{744.89013671875, 431.3469543457031}","{896.051025390625, 532.5017700195312}","{553.273193359375, 666.970947265625}","{462.4970397949219, 625.39306640625}","{80.920166015625, 644.981689453125}"
"{744.0907592773438, 431.66925048828125}","{897.6535034179688, 531.3728637695312}","{553.2788696289062, 666.849365234375}","{463.831787109375, 627.1236572265625}","{82.81784057617188, 644.8692016601562}"
"{742.6790161132812, 429.3893127441406}","{897.3564453125, 530.3228759765625}","{553.1444091796875, 666.3235473632812}","{463.4384765625, 625.67138671875}","{80.80815887451172, 643.322021484375}"
"{744.0042724609375, 430.8728332519531}","{896.4406127929688, 529.390380859375}","{553.2327270507812, 669.242919921875}","{463.7797546386719, 624.5753173828125}","{81.30384063720703, 643.070068359375}"
"{741.6167602539062, 432.1278381347656}","{898.4470825195312, 528.8916015625}","{554.5968627929688, 672.5095825195312}","{467.2369079589844, 626.7567138671875}","{79.04679107666016, 641.8546142578125}"
"{742.9928588867188, 432.6431579589844}","{898.5732421875, 530.800537109375}","{554.3602294921875, 671.4658813476562}","{469.3777770996094, 625.756591796875}","{77.87680053710938, 639.8544921875}"
"{741.4877319335938, 430.3556823730469}","{900.05029296875, 529.9267578125}","{555.7800903320312, 669.8460693359375}","{468.64703369140625, 625.61572265625}","{76.39569091796875, 640.1434326171875}"
"{742.4271240234375, 428.94146728515625}","{899.3233642578125, 529.5394897460938}","{558.3130493164062, 670.4191284179688}","{468.5866394042969, 624.12451171875}","{77.42684173583984, 639.8739624023438}"
"{743.4254150390625, 425.16265869140625}","{900.0711669921875, 529.0966796875}","{560.19384765625, 670.5263061523438}","{469.0024108886719, 624.0365600585938}","{76.64754486083984, 640.266357421875}"
