"{540.455810546875, 123.9749755859375}","{245.083984375, 465.3594970703125}","{198.22364807128906, 604.7406005859375}"
"{540.6668701171875, 125.4337158203125}","{245.7657470703125, 463.1822814941406}","{197.45001220703125, 603.373291015625}"
"{540.9640502929688, 124.79498291015625}","{246.86680603027344, 462.0101013183594}","{196.09678649902344, 604.2142333984375}"
"{538.4078369140625, 122.352294921875}","{246.9109344482422, 461.6278991699219}","{197.09945678710938, 603.133056640625}"
"{537.9892578125, 124.26678466796875}","{246.5462188720703, 460.9725646972656}","{197.62413024902344, 603.574951171875}"
"{534.7286376953125, 124.2689208984375}","{245.74838256835938, 460.6416931152344}","{195.89263916015625, 602.9545288085938}"
"{534.676025390625, 122.54827880859375}","{244.66766357421875, 459.91033935546875}","{195.2045135498047, 602.4354248046875}"
"{533.3751220703125, 122.27569580078125}","{243.4513702392578, 457.5818786621094}","{194.7008819580078, 602.877197265625}"
"{534.6934814453125, 121.40118408203125}","{243.17835998535156, 455.5543518066406}","{196.82139587402344, 603.2119140625}"
"{535.035400390625, 122.79522705078125}","{243.40103149414062, 455.1932373046875}","{197.10716247558594, 600.9190673828125}"
"{535.1403198242188, 123.45208740234375}","{241.96533203125, 455.166748046875}","{196.19961547851562, 601.9798583984375}"
"{534.075927734375, 124.5999755859375}","{245.1260986328125, 455.463134765625}","{194.9411163330078, 601.48583984375}"
"{533.1505737304688, 123.78021240234375}","{244.8301239013672, 457.8854675292969}","{195.5657501220703, 601.6727294921875}"
"{534.3863525390625, 121.91973876953125}","{246.5183563232422, 459.9237365722656}","{195.78900146484375, 602.6641845703125}"
"{534.3091430664062, 121.488525390625}","{245.59182739257812, 461.31494140625}","{197.05043029785156, 604.1697387695312}"
"{534.781982421875, 124.0406494140625}","{245.67018127441406, 461.899169921875}","{195.6952667236328, 603.0787963867188}"
"{536.3113403320312, 123.9271240234375}","{245.57989501953125, 463.1821594238281}","{195.86204528808594, 602.6245727539062}"
"{533.3480834960938, 121.5416259765625}","{246.34164428710938, 463.5723571777344}","{194.0342254638672, 602.7828369140625}"
"{533.7056884765625, 124.160888671875}","{246.04335021972656, 461.7403564453125}","{193.66111755371094, 601.9671020507812}"
"{533.2891235351562, 122.52984619140625}","{249.070068359375, 461.0450439453125}","{196.357421875, 602.4833984375}"
"{533.9354858398438, 121.78485107421875}","{247.105224609375, 458.21551513671875}","{195.08299255371094, 603.5433349609375}"
"{534.823974609375, 123.44769287109375}","{246.5987548828125, 456.50201416015625}","{195.53648376464844, 603.4461669921875}"
"{535.4130859375, 121.13818359375}","{246.75990295410156, 455.76055908203125}","{197.26220703125, 601.6161499023438}"
"{534.8136596679688, 120.498046875}","{247.0509033203125, 455.92340087890625}","{198.58029174804688, 600.6751098632812}"
"{532.8232421875, 121.45062255859375}","{247.2627716064453, 456.0449523925781}","{198.3935089111328, 599.1409301757812}"
"{535.0716552734375, 122.68206787109375}","{247.2611846923828, 455.8792724609375}","{198.05165100097656, 600.7135009765625}"
"{535.4035034179688, 124.4547119140625}","{248.36346435546875, 458.66424560546875}","{197.90133666992188, 600.80615234375}"
"{533.681396484375, 125.02227783203125}","{249.9467315673828, 458.47210693359375}","{198.72186279296875, 598.1137084960938}"
"{533.681396484375, 125.02227783203125}","{249.9467315673828, 458.47210693359375}","{198.72186279296875, 598.1137084960938}"
"{534.8382568359375, 125.56451416015625}","{249.7154541015625, 458.30364990234375}","{198.2045440673828, 598.4381103515625}"
"{536.1295776367188, 125.5526123046875}","{248.69630432128906, 456.6521911621094}","{200.22662353515625, 600.6465454101562}"
"{536.5579833984375, 125.38665771484375}","{248.94564819335938, 459.265869140625}","{201.324462890625, 599.8693237304688}"
"{535.2028198242188, 125.12664794921875}","{247.18453979492188, 460.6976318359375}","{201.8734893798828, 601.1725463867188}"
"{533.4602661132812, 124.86871337890625}","{248.1161346435547, 463.0546569824219}","{202.41903686523438, 601.9786987304688}"
"{532.9857788085938, 123.08984375}","{249.08033752441406, 463.01348876953125}","{203.12628173828125, 603.3505249023438}"
"{535.3328857421875, 122.2164306640625}","{249.94873046875, 464.06854248046875}","{202.3713836669922, 604.222900390625}"
"{535.6329956054688, 123.48748779296875}","{250.57318115234375, 464.6190185546875}","{202.13885498046875, 606.5810546875}"
"{535.6329956054688, 123.48748779296875}","{250.57318115234375, 464.6190185546875}","{202.13885498046875, 606.5810546875}"
"{537.1610717773438, 124.951416015625}","{255.8212890625, 463.6091613769531}","{202.9230499267578, 606.4678955078125}"
"{536.84814453125, 126.72967529296875}","{255.1532745361328, 463.54974365234375}","{200.6582794189453, 606.8546752929688}"
"{535.8203735351562, 129.13311767578125}","{255.8678436279297, 462.530517578125}","{202.1038055419922, 607.6951293945312}"
"{535.8238525390625, 128.65814208984375}","{254.303955078125, 460.493896484375}","{201.8604278564453, 610.5877685546875}"
"{536.25732421875, 127.2579345703125}","{254.6281280517578, 459.35858154296875}","{201.4879913330078, 609.6830444335938}"
"{539.7816772460938, 125.32269287109375}","{253.83587646484375, 458.7827453613281}","{200.4906005859375, 611.7891235351562}"
"{539.3162841796875, 125.5858154296875}","{253.88937377929688, 457.9033508300781}","{201.16802978515625, 612.3760986328125}"
"{540.0955200195312, 124.3055419921875}","{252.69383239746094, 460.1296081542969}","{201.6138458251953, 613.68359375}"
"{540.6759643554688, 125.4384765625}","{252.12997436523438, 460.4568176269531}","{201.5213623046875, 612.3104858398438}"
"{540.3142700195312, 124.2115478515625}","{251.3479461669922, 462.3671875}","{202.04025268554688, 613.0859375}"
"{540.5025634765625, 122.1484375}","{251.67843627929688, 462.708984375}","{200.93505859375, 613.7353515625}"
"{542.1069946289062, 121.98944091796875}","{251.14634704589844, 461.6639099121094}","{200.40573120117188, 614.068603515625}"
"{541.2085571289062, 123.588134765625}","{250.02162170410156, 460.60467529296875}","{201.33363342285156, 614.2698974609375}"
"{540.5424194335938, 124.69488525390625}","{252.609619140625, 459.2158203125}","{201.28570556640625, 614.7461547851562}"
"{542.2615356445312, 127.1396484375}","{253.49862670898438, 458.80938720703125}","{202.5791778564453, 614.4522705078125}"
"{543.3268432617188, 127.788330078125}","{253.03421020507812, 458.612548828125}","{201.4770965576172, 615.4739990234375}"
"{542.3177490234375, 126.66094970703125}","{254.38543701171875, 457.0368957519531}","{201.29473876953125, 616.775146484375}"
"{541.5638427734375, 124.90155029296875}","{257.5772399902344, 457.0491943359375}","{201.74691772460938, 615.951416015625}"
"{539.9963989257812, 125.384521484375}","{258.4373474121094, 457.7849426269531}","{202.29434204101562, 616.4378051757812}"
"{539.9020385742188, 125.904052734375}","{257.9533386230469, 458.7406005859375}","{202.3727264404297, 615.7614135742188}"
"{539.39208984375, 125.89361572265625}","{256.16770935058594, 458.6847229003906}","{202.91659545898438, 615.6258544921875}"
"{542.2647094726562, 126.248291015625}","{254.9318084716797, 457.58416748046875}","{203.1821746826172, 615.4305419921875}"
"{543.1204223632812, 126.7567138671875}","{253.9950408935547, 458.6990051269531}","{202.5923309326172, 616.7115478515625}"
"{542.724609375, 126.350341796875}","{254.6185302734375, 458.4212951660156}","{201.6225128173828, 616.0265502929688}"
"{544.6773071289062, 126.9637451171875}","{251.97547912597656, 456.45196533203125}","{201.2905731201172, 616.4296875}"
"{543.029541015625, 125.11004638671875}","{253.0741424560547, 456.1821594238281}","{199.96946716308594, 614.4689331054688}"
"{545.0245971679688, 125.43115234375}","{253.08685302734375, 455.3876037597656}","{201.54629516601562, 615.179931640625}"
"{545.196044921875, 127.7498779296875}","{255.33926391601562, 456.0106201171875}","{201.28512573242188, 614.8660278320312}"
"{545.3739624023438, 126.34063720703125}","{256.41749572753906, 454.10772705078125}","{201.46151733398438, 613.8468627929688}"
"{547.63134765625, 126.9464111328125}","{254.21583557128906, 454.2450256347656}","{202.36973571777344, 614.8042602539062}"
"{547.63134765625, 126.9464111328125}","{254.21583557128906, 454.2450256347656}","{202.36973571777344, 614.8042602539062}"
"{546.7085571289062, 126.818359375}","{254.88619995117188, 456.21112060546875}","{202.3545379638672, 619.1131591796875}"
"{545.9761352539062, 128.2686767578125}","{253.8522186279297, 458.1792907714844}","{203.09291076660156, 619.6619262695312}"
"{545.0112915039062, 128.5479736328125}","{255.63636779785156, 457.2449035644531}","{203.39016723632812, 618.1968994140625}"
"{544.7020263671875, 128.5557861328125}","{255.4296112060547, 459.2196960449219}","{204.59022521972656, 617.0279541015625}"
"{546.3348999023438, 128.95220947265625}","{254.13217163085938, 458.9411315917969}","{204.95054626464844, 615.1851196289062}"
"{546.2998657226562, 127.5245361328125}","{254.73988342285156, 459.72406005859375}","{205.69883728027344, 616.1787719726562}"
"{544.8152465820312, 128.0584716796875}","{253.8259735107422, 462.29473876953125}","{206.26065063476562, 616.35302734375}"
"{545.9592895507812, 127.62158203125}","{252.59405517578125, 460.509033203125}","{206.4920654296875, 616.4840698242188}"
"{545.48388671875, 128.416748046875}","{253.1556396484375, 461.1127014160156}","{208.13584899902344, 615.249267578125}"
"{545.6228637695312, 128.12396240234375}","{254.0128631591797, 459.7153015136719}","{205.82046508789062, 615.1788940429688}"
"{545.8479614257812, 127.8284912109375}","{254.18124389648438, 460.88970947265625}","{206.31629943847656, 613.4044189453125}"
"{546.0916748046875, 127.47845458984375}","{253.88870239257812, 461.2759094238281}","{205.72711181640625, 611.483154296875}"
"{546.5398559570312, 126.33465576171875}","{253.2053680419922, 463.5285949707031}","{207.65000915527344, 609.828369140625}"
"{548.4646606445312, 125.06427001953125}","{253.41273498535156, 462.9119873046875}","{208.38087463378906, 609.32470703125}"
"{549.8505859375, 123.82672119140625}","{253.02120971679688, 463.9969787597656}","{205.81454467773438, 611.0775146484375}"
"{550.1094970703125, 123.52581787109375}","{253.28717041015625, 464.9918518066406}","{204.58872985839844, 609.9784545898438}"
"{548.9100952148438, 123.38330078125}","{250.8769989013672, 466.33087158203125}","{204.53472900390625, 611.3564453125}"
"{547.9400634765625, 123.007080078125}","{250.55335998535156, 463.50506591796875}","{204.18568420410156, 609.2169189453125}"
"{547.0249633789062, 123.5177001953125}","{250.55899047851562, 463.3531494140625}","{204.37384033203125, 610.4906005859375}"
"{548.1397705078125, 121.23284912109375}","{250.22866821289062, 463.6891174316406}","{205.44290161132812, 610.8648071289062}"
"{547.659423828125, 120.882080078125}","{250.25660705566406, 461.7836608886719}","{206.48193359375, 610.306396484375}"
"{548.2982177734375, 122.7381591796875}","{252.7748260498047, 461.8979797363281}","{205.48036193847656, 610.3946533203125}"
"{547.8974609375, 123.363525390625}","{253.39849853515625, 463.20501708984375}","{207.13156127929688, 611.8416748046875}"
"{549.6972045898438, 122.91253662109375}","{255.64625549316406, 463.2853698730469}","{206.35577392578125, 610.6875}"
"{549.09619140625, 121.21929931640625}","{253.29112243652344, 463.5641784667969}","{206.953125, 609.6277465820312}"
"{549.817626953125, 121.21728515625}","{254.61317443847656, 462.0421142578125}","{207.31190490722656, 608.7822875976562}"
"{552.1576538085938, 121.9388427734375}","{253.72108459472656, 464.75347900390625}","{208.3767852783203, 608.7125854492188}"
"{552.1576538085938, 121.9388427734375}","{253.72108459472656, 464.75347900390625}","{208.3767852783203, 608.7125854492188}"
"{556.0826416015625, 123.27374267578125}","{257.43035888671875, 465.7166442871094}","{208.54953002929688, 608.51708984375}"
"{556.9468383789062, 123.3133544921875}","{260.1175231933594, 465.3605041503906}","{207.77792358398438, 610.2042236328125}"
"{557.7245483398438, 123.7569580078125}","{261.0703125, 463.2651062011719}","{208.61285400390625, 610.4497680664062}"
"{558.744873046875, 121.1905517578125}","{260.435546875, 461.76690673828125}","{209.9406280517578, 610.6334838867188}"
"{558.744873046875, 121.1905517578125}","{260.435546875, 461.76690673828125}","{209.9406280517578, 610.6334838867188}"
"{559.7660522460938, 122.89349365234375}","{261.23870849609375, 463.2718811035156}","{210.557861328125, 613.508544921875}"
"{561.6347045898438, 125.1697998046875}","{261.97137451171875, 462.3198547363281}","{210.09523010253906, 613.9373779296875}"
"{561.4043579101562, 123.84088134765625}","{262.0711669921875, 461.941162109375}","{210.33883666992188, 613.3457641601562}"
"{561.8501586914062, 121.23052978515625}","{262.9621276855469, 460.67431640625}","{208.8525848388672, 613.9193725585938}"
"{561.4130249023438, 120.2318115234375}","{261.85821533203125, 460.4415283203125}","{209.37326049804688, 614.5771484375}"
"{563., 120.7935791015625}","{261.9720458984375, 458.64227294921875}","{208.05303955078125, 613.3404541015625}"
"{565.11962890625, 122.2781982421875}","{263.670654296875, 460.00213623046875}","{207.540283203125, 614.3541870117188}"
"{566.128173828125, 123.70623779296875}","{262.3648376464844, 459.70611572265625}","{209.31361389160156, 614.374755859375}"
"{565.9466552734375, 123.589111328125}","{263.8829650878906, 458.61077880859375}","{210.84814453125, 612.4093017578125}"
"{568.2349853515625, 123.77838134765625}","{266.2054443359375, 457.46173095703125}","{212.07684326171875, 612.6058349609375}"
"{568.7288818359375, 122.8870849609375}","{265.6081848144531, 456.37109375}","{213.53036499023438, 612.6605224609375}"
"{568.819580078125, 125.14459228515625}","{264.663330078125, 458.9464416503906}","{211.2261962890625, 612.0442504882812}"
"{570.1123046875, 123.98095703125}","{265.23126220703125, 456.5308837890625}","{210.0067138671875, 610.8508911132812}"
"{568.5531005859375, 126.84735107421875}","{268.062255859375, 458.2711486816406}","{208.5703125, 610.1939697265625}"
"{568.5531005859375, 126.84735107421875}","{268.062255859375, 458.2711486816406}","{208.5703125, 610.1939697265625}"
"{569.6304931640625, 125.24127197265625}","{269.4378356933594, 457.35369873046875}","{205.1557159423828, 611.083251953125}"
"{571.2791748046875, 126.33087158203125}","{268.482177734375, 457.31103515625}","{202.59080505371094, 611.9799194335938}"
"{572.3062744140625, 127.34814453125}","{269.6100158691406, 455.6855773925781}","{202.8104248046875, 610.6940307617188}"
"{573.0578002929688, 127.52069091796875}","{270.0465087890625, 454.9009094238281}","{203.7187957763672, 609.6553344726562}"
"{572.5084228515625, 127.62591552734375}","{271.67242431640625, 456.291748046875}","{205.39126586914062, 609.1441650390625}"
"{572.111572265625, 126.117431640625}","{274.9039611816406, 457.9817810058594}","{205.85629272460938, 611.3485107421875}"
"{573.2510986328125, 127.61767578125}","{275.2889099121094, 458.0188293457031}","{205.17196655273438, 611.3056640625}"
"{573.5940551757812, 129.346923828125}","{274.8258972167969, 457.1864318847656}","{204.64352416992188, 610.4891967773438}"
"{572.2620849609375, 129.86065673828125}","{274.7062683105469, 457.8882751464844}","{204.1970672607422, 610.1609497070312}"
"{572.367431640625, 129.18603515625}","{273.56573486328125, 459.51788330078125}","{204.91273498535156, 610.6272583007812}"
"{571.8576049804688, 127.6143798828125}","{270.8354797363281, 458.5477600097656}","{205.48416137695312, 612.3939208984375}"
"{572.3959350585938, 127.06341552734375}","{270.1795959472656, 457.9366149902344}","{204.56301879882812, 611.5413818359375}"
"{572.3959350585938, 127.06341552734375}","{270.1795959472656, 457.9366149902344}","{204.56301879882812, 611.5413818359375}"
"{574.5624389648438, 126.482666015625}","{271.3454284667969, 459.036865234375}","{203.58761596679688, 613.9871215820312}"
"{574.9363403320312, 125.54266357421875}","{272.1128845214844, 460.4884338378906}","{204.41770935058594, 615.0553588867188}"
"{576.687744140625, 123.97796630859375}","{272.57525634765625, 460.72698974609375}","{204.96145629882812, 614.5953369140625}"
"{579.0171508789062, 124.463623046875}","{272.690673828125, 460.7814025878906}","{207.02398681640625, 614.4755859375}"
"{577.8919677734375, 123.751220703125}","{277.1360778808594, 457.5772399902344}","{210.53182983398438, 615.55224609375}"
"{576.9952392578125, 121.61590576171875}","{273.9602355957031, 455.7830810546875}","{207.8631591796875, 615.8958129882812}"
"{576.16162109375, 122.8409423828125}","{272.9269714355469, 455.47491455078125}","{208.8528289794922, 611.966064453125}"
"{576.155029296875, 125.45501708984375}","{273.75396728515625, 457.0621337890625}","{207.2431640625, 613.3819580078125}"
"{574.660888671875, 124.1064453125}","{276.00823974609375, 458.8510437011719}","{207.37591552734375, 614.3220825195312}"
"{573.95458984375, 125.40924072265625}","{274.3598327636719, 460.0885925292969}","{208.37376403808594, 612.9373168945312}"
"{573.3831787109375, 125.54327392578125}","{277.6312255859375, 458.84295654296875}","{210.6371307373047, 612.9168090820312}"
"{573.0720825195312, 125.2076416015625}","{278.50946044921875, 460.51129150390625}","{211.09742736816406, 611.046142578125}"
"{573.0720825195312, 125.2076416015625}","{278.50946044921875, 460.51129150390625}","{211.09742736816406, 611.046142578125}"
"{572.0071411132812, 123.17022705078125}","{279.3878173828125, 460.94915771484375}","{209.8324432373047, 612.661865234375}"
"{574.154052734375, 124.0869140625}","{278.2015380859375, 459.1054992675781}","{208.91015625, 613.4759521484375}"
"{576.073974609375, 122.60260009765625}","{277.29827880859375, 458.8412170410156}","{209.75857543945312, 615.0226440429688}"
"{577.7803344726562, 121.52587890625}","{277.23046875, 458.8025207519531}","{209.40187072753906, 610.9676513671875}"
"{576.4570922851562, 121.11566162109375}","{279.7379455566406, 458.7582092285156}","{210.10357666015625, 611.6238403320312}"
"{575.0726928710938, 120.93658447265625}","{279.1441955566406, 458.0360412597656}","{211.1840057373047, 609.1119995117188}"
"{574.8169555664062, 120.613525390625}","{278.6337585449219, 457.78515625}","{212.74351501464844, 608.585693359375}"
"{573.544677734375, 120.580322265625}","{277.8409423828125, 457.47930908203125}","{214.00430297851562, 608.7257690429688}"
"{575.5186157226562, 121.05474853515625}","{276.8410339355469, 457.19158935546875}","{215.21630859375, 608.7740478515625}"
"{575.572509765625, 119.19940185546875}","{278.4363098144531, 457.30816650390625}","{216.66688537597656, 610.2117919921875}"
