"{902.8553157474021, 470.86810551558756}","{924.1374900079936, 176.19184652278182}","{631.0983213429256, 485.60191846522787}","{560.7034372501998, 199.1111111111111}","{434.6474820143885, 277.69144684252603}","{233.28537170263786, 128.71622701838533}","{459.2038369304556, 323.5299760191847}","{185.80975219824137, 398.83613109512396}","{38.47162270183854, 395.5619504396483}","{72.85051958433253, 664.0447641886492}","{27.01199040767385, 649.3109512390089}"
"{902.4654541015625, 471.58245849609375}","{924.1355590820312, 176.0252685546875}","{630.7125854492188, 487.41021728515625}","{562.1476440429688, 197.30810546875}","{434.7544250488281, 277.4964294433594}","{231.2203826904297, 128.040283203125}","{457.974609375, 322.22857666015625}","{185.06747436523438, 398.6331481933594}","{38.81159973144531, 391.48980712890625}","{74.01273345947266, 664.847900390625}","{27.293275833129883, 648.4922485351562}"
"{901.375732421875, 470.3603820800781}","{926.0192260742188, 177.21539306640625}","{630.5916748046875, 488.3998107910156}","{562.1641235351562, 196.8984375}","{436.36798095703125, 274.6689453125}","{231.05673217773438, 127.53631591796875}","{458.38446044921875, 322.2308654785156}","{185.3033447265625, 397.8484191894531}","{41.02536392211914, 393.36468505859375}","{75.88863372802734, 664.9200439453125}","{28.29836082458496, 648.14013671875}"
"{900.8193969726562, 471.0298767089844}","{925.494384765625, 178.71624755859375}","{632.0592041015625, 489.0093078613281}","{562.5804443359375, 197.1927490234375}","{434.70751953125, 274.9144287109375}","{231.07432556152344, 128.57037353515625}","{455.8291320800781, 323.1893615722656}","{187.28314208984375, 396.73809814453125}","{40.099952697753906, 390.67730712890625}","{75.18243408203125, 664.4706420898438}","{29.98282814025879, 647.9677734375}"
"{901.1141357421875, 471.1376647949219}","{926.8021850585938, 177.42144775390625}","{631.2386474609375, 490.9704284667969}","{560.9432983398438, 198.12420654296875}","{434.57708740234375, 274.699951171875}","{232.13409423828125, 126.8984375}","{454.6855163574219, 323.2210998535156}","{185.08480834960938, 396.0803527832031}","{39.19990921020508, 387.4925231933594}","{74.64138793945312, 662.0108642578125}","{29.69814682006836, 644.8502197265625}"
"{901.3601684570312, 471.4676818847656}","{927.27197265625, 177.7886962890625}","{628.8426513671875, 492.29058837890625}","{558.863037109375, 195.8311767578125}","{435.498779296875, 276.0757141113281}","{232.3845977783203, 127.58856201171875}","{452.16741943359375, 325.4796142578125}","{185.2673797607422, 394.6141662597656}","{38.08107376098633, 388.3738708496094}","{72.94597625732422, 662.651611328125}","{29.223604202270508, 645.6658935546875}"
"{903.4916381835938, 470.59814453125}","{925.085205078125, 176.12200927734375}","{629.1920776367188, 493.73260498046875}","{558.0440063476562, 194.77001953125}","{437.3919677734375, 277.18621826171875}","{232.61053466796875, 126.84747314453125}","{450.760498046875, 325.3587341308594}","{185.89305114746094, 393.97686767578125}","{39.7542724609375, 389.0350036621094}","{71.72682189941406, 661.4952392578125}","{30.321426391601562, 644.7979736328125}"
"{903.369384765625, 470.9372863769531}","{925.3547973632812, 175.744873046875}","{630.0857543945312, 492.286865234375}","{557.2863159179688, 196.0247802734375}","{435.02056884765625, 273.58721923828125}","{234.49856567382812, 127.78594970703125}","{450.2082214355469, 323.9782409667969}","{185.92347717285156, 396.2274169921875}","{40.239871978759766, 387.9662780761719}","{71.27838134765625, 660.3521118164062}","{30.009126663208008, 645.3816528320312}"
"{902.0659790039062, 470.00042724609375}","{923.9674072265625, 176.4866943359375}","{631.1466674804688, 495.25341796875}","{556.824951171875, 198.887451171875}","{433.79833984375, 273.62286376953125}","{233.830078125, 127.28009033203125}","{449.46795654296875, 323.488037109375}","{185.90899658203125, 394.9731140136719}","{38.89497756958008, 390.294677734375}","{69.70686340332031, 661.5323486328125}","{28.06435203552246, 646.0841674804688}"
"{903.3746948242188, 471.3484191894531}","{923.4105834960938, 174.48193359375}","{633.4874267578125, 497.029541015625}","{557.6183471679688, 197.968505859375}","{433.9476623535156, 275.70770263671875}","{233.5286865234375, 128.18505859375}","{447.49566650390625, 323.52984619140625}","{185.9132843017578, 393.5718688964844}","{39.351009368896484, 390.33709716796875}","{70.59889221191406, 664.7755737304688}","{29.334787368774414, 646.9517211914062}"
"{905.7086181640625, 471.34027099609375}","{925.4921264648438, 173.83380126953125}","{633.322265625, 498.3031921386719}","{557.2067260742188, 195.53277587890625}","{435.1328430175781, 273.25738525390625}","{232.9338836669922, 128.34039306640625}","{446.4362487792969, 323.43951416015625}","{185.54327392578125, 394.442138671875}","{44.17802810668945, 392.4485778808594}","{70.3482437133789, 664.3060913085938}","{30.650096893310547, 647.9937744140625}"
