"{898.5960083007812, 84.65496826171875}","{511.5751647949219, 247.73675537109375}","{465.6601867675781, 133.1396484375}","{279.0351257324219, 37.51312255859375}","{350.93023681640625, 159.53619384765625}","{242.04978942871094, 220.88787841796875}","{250.9845428466797, 308.3375549316406}","{86.50064086914062, 98.48095703125}","{846.4205932617188, 302.1287841796875}","{744.9789428710938, 310.1424865722656}","{831.3377685546875, 386.0102844238281}","{965.4640502929688, 523.8141479492188}","{760.5287475585938, 562.2022705078125}","{869.0196533203125, 641.6504516601562}","{753.7130126953125, 683.21923828125}","{516.0582885742188, 626.914306640625}"
"{895.6845703125, 85.3128662109375}","{511.2582092285156, 249.21893310546875}","{467.1647644042969, 134.868896484375}","{275.49505615234375, 39.72576904296875}","{348.5062561035156, 159.5828857421875}","{242.9227752685547, 221.94305419921875}","{248.6130828857422, 307.36346435546875}","{85.87950134277344, 97.89813232421875}","{844.48681640625, 302.4552917480469}","{744.4677734375, 306.7029724121094}","{830.9634399414062, 388.33709716796875}","{968.7378540039062, 522.0730590820312}","{757.90185546875, 561.4443359375}","{869.5569458007812, 642.3145751953125}","{754.3499755859375, 684.0380249023438}","{513.685302734375, 629.6407470703125}"
"{894.3281860351562, 85.131591796875}","{512.0202941894531, 249.0458984375}","{466.0914001464844, 133.39080810546875}","{276.8266296386719, 38.4432373046875}","{349.2346496582031, 158.03131103515625}","{242.74610900878906, 220.97991943359375}","{247.21499633789062, 308.54022216796875}","{87.0709457397461, 98.91302490234375}","{846.409423828125, 301.76849365234375}","{745.1936645507812, 308.0596008300781}","{830.9749755859375, 388.54571533203125}","{969.5839233398438, 522.417724609375}","{758.7686767578125, 561.7373657226562}","{869.2562866210938, 643.6063232421875}","{754.1510009765625, 684.1484985351562}","{513.1552124023438, 628.4308471679688}"
"{896.0238647460938, 87.11181640625}","{512.0065307617188, 248.258056640625}","{465.8025207519531, 131.7413330078125}","{276.2678527832031, 37.89453125}","{347.75811767578125, 156.44091796875}","{243.63438415527344, 221.6741943359375}","{246.82244873046875, 309.1614685058594}","{86.45137786865234, 98.69964599609375}","{846.2640380859375, 302.20599365234375}","{745.3860473632812, 308.4448547363281}","{830.2325439453125, 387.23602294921875}","{969.0577392578125, 522.224365234375}","{759.5296020507812, 561.389892578125}","{868.939208984375, 643.263916015625}","{754.1248779296875, 683.7247924804688}","{512.705810546875, 630.5501708984375}"
"{895.000244140625, 84.89935302734375}","{513.152099609375, 247.2685546875}","{466.4056091308594, 130.080810546875}","{275.1322021484375, 37.32196044921875}","{347.497314453125, 155.515380859375}","{239.89938354492188, 221.379638671875}","{247.1296844482422, 308.9169006347656}","{86.2929916381836, 99.2952880859375}","{844.9378662109375, 300.1496276855469}","{746.4625244140625, 307.7779846191406}","{829.8552856445312, 387.9869384765625}","{970.9490966796875, 524.29296875}","{758.1436157226562, 560.6851196289062}","{868.32958984375, 645.421875}","{753.8430786132812, 683.1854858398438}","{511.0379333496094, 631.3057861328125}"
"{892.8367309570312, 87.285888671875}","{512.0062561035156, 248.46685791015625}","{467.2847900390625, 133.2626953125}","{275.50982666015625, 38.0244140625}","{347.6379089355469, 152.272705078125}","{239.45867919921875, 220.69464111328125}","{247.02760314941406, 308.7400207519531}","{84.48889923095703, 100.64263916015625}","{843.2525024414062, 301.3502502441406}","{745.3511352539062, 309.53948974609375}","{826.7261962890625, 389.4302673339844}","{969.9678344726562, 525.1620483398438}","{757.8027954101562, 563.1202392578125}","{866.3715209960938, 647.7571411132812}","{753.748291015625, 682.814453125}","{511.08197021484375, 630.773193359375}"
"{891.1728515625, 89.0826416015625}","{510.76153564453125, 246.46533203125}","{466.2830505371094, 134.78216552734375}","{275.4993591308594, 38.707763671875}","{346.7823486328125, 151.4644775390625}","{238.74412536621094, 220.6571044921875}","{247.45584106445312, 306.981689453125}","{83.87001037597656, 101.07635498046875}","{842.8389892578125, 302.1216125488281}","{744.5324096679688, 309.6527404785156}","{827.4000854492188, 390.9326171875}","{972.4583740234375, 523.0894775390625}","{757.1378784179688, 561.9044189453125}","{865.7807006835938, 647.1032104492188}","{754.53857421875, 683.7376708984375}","{508.8367614746094, 628.5740966796875}"
"{890.772705078125, 87.49853515625}","{513.5852661132812, 248.1790771484375}","{465.8968505859375, 135.760009765625}","{274.432373046875, 38.47918701171875}","{345.45635986328125, 147.0921630859375}","{240.1193084716797, 219.8973388671875}","{249.1868438720703, 306.89825439453125}","{84.99796295166016, 101.32025146484375}","{842.161376953125, 301.4659423828125}","{744.8865966796875, 311.35650634765625}","{827.0784912109375, 389.1337585449219}","{972.8885498046875, 521.8687133789062}","{757.4913940429688, 561.8805541992188}","{862.4851684570312, 646.51171875}","{753.915283203125, 683.2302856445312}","{509.42144775390625, 629.7354125976562}"
"{890.5469970703125, 86.99298095703125}","{513.47216796875, 249.286376953125}","{465.77197265625, 135.5640869140625}","{274.6296081542969, 39.04986572265625}","{347.92333984375, 148.9517822265625}","{241.2860870361328, 220.71197509765625}","{249.61375427246094, 307.5362854003906}","{87.04759979248047, 101.12115478515625}","{843.7022094726562, 300.84075927734375}","{742.7996215820312, 311.82037353515625}","{829.185302734375, 389.6510009765625}","{972.2872314453125, 521.7750244140625}","{756.9952392578125, 560.8079223632812}","{861.7772827148438, 647.2935791015625}","{753.971923828125, 683.2348022460938}","{511.3551330566406, 628.8998413085938}"
"{890.7703247070312, 90.12432861328125}","{511.3575134277344, 246.96722412109375}","{469.02581787109375, 135.92962646484375}","{278.322998046875, 39.00128173828125}","{347.4863586425781, 147.8067626953125}","{241.1014404296875, 219.08612060546875}","{246.53501892089844, 308.0389404296875}","{87.1075210571289, 101.4051513671875}","{842.9052124023438, 298.51116943359375}","{741.6492309570312, 309.9769287109375}","{829.5144653320312, 390.2593688964844}","{972.9763793945312, 522.005859375}","{756.33544921875, 561.2859497070312}","{860.6173706054688, 645.9577026367188}","{753.563232421875, 684.0159912109375}","{509.73858642578125, 628.469970703125}"
