"{915.1121826171875, 520.7362060546875}","{848.744384765625, 444.6780700683594}","{446.6292724609375, 373.08343505859375}","{253.14598083496094, 86.74853515625}",Missing[],"{373.5820007324219, 520.3048095703125}"
"{916.6761474609375, 520.3628540039062}","{847.6842651367188, 442.2244873046875}","{449.5611572265625, 373.5407409667969}","{251.8611602783203, 85.33038330078125}",Missing[],"{372.27044677734375, 521.519775390625}"
"{917.9820556640625, 520.8735961914062}","{847.489013671875, 441.8969421386719}","{448.0297546386719, 373.2066650390625}","{251.42433166503906, 82.96673583984375}",Missing[],"{373.418212890625, 521.30029296875}"
"{919.1287841796875, 519.7705078125}","{845.7782592773438, 440.75048828125}","{447.98846435546875, 374.0395202636719}","{251.01939392089844, 83.56805419921875}",Missing[],"{374.66424560546875, 522.059326171875}"
"{919.377685546875, 520.8017578125}","{847.2678833007812, 439.0874938964844}","{446.8742370605469, 375.02923583984375}","{250.296875, 85.20361328125}",Missing[],"{376.1794128417969, 522.160888671875}"
"{918.3193359375, 520.4829711914062}","{847.0773315429688, 441.4725341796875}","{445.8482666015625, 375.9922790527344}","{253.73672485351562, 86.12451171875}",Missing[],"{374.39508056640625, 521.392333984375}"
"{916.7182006835938, 522.7433471679688}","{847.4426879882812, 442.0517578125}","{447.2398986816406, 376.9958190917969}","{253.20823669433594, 86.436279296875}",Missing[],"{374.18096923828125, 522.9932250976562}"
"{916.5262451171875, 523.565673828125}","{847.9390869140625, 440.9252014160156}","{447.2334899902344, 376.6478576660156}","{252.35972595214844, 87.83868408203125}",Missing[],"{375.6952819824219, 522.7122192382812}"
"{916.3901977539062, 526.207763671875}","{847.4817504882812, 443.2109680175781}","{445.2601013183594, 377.4581604003906}","{250.43902587890625, 91.4417724609375}",Missing[],"{376.76776123046875, 525.8604736328125}"
"{918.523681640625, 526.1768798828125}","{847.3739624023438, 445.1025085449219}","{446.9631042480469, 379.7690734863281}","{249.4288330078125, 94.04266357421875}",Missing[],"{375.040283203125, 525.54443359375}"
"{918.5038452148438, 525.3297119140625}","{847.443359375, 443.0003356933594}","{446.88629150390625, 377.1175231933594}","{250.52427673339844, 92.38153076171875}",Missing[],"{375.07659912109375, 526.4235229492188}"
"{917.8616333007812, 526.70703125}","{846.9147338867188, 443.5205993652344}","{445.9659729003906, 376.3225402832031}","{251.90676879882812, 92.2318115234375}",Missing[],"{375.01007080078125, 525.1488647460938}"
"{916.4777221679688, 527.5028076171875}","{846.62109375, 445.1187744140625}","{445.5838623046875, 376.41796875}","{252.6578369140625, 92.68414306640625}",Missing[],"{375.097900390625, 523.0650634765625}"
"{916.4777221679688, 527.5028076171875}","{846.62109375, 445.1187744140625}","{445.5838623046875, 376.41796875}","{252.6578369140625, 92.68414306640625}",Missing[],"{375.097900390625, 523.0650634765625}"
"{919.06591796875, 528.8287353515625}","{844.9476318359375, 445.6514892578125}","{444.9466857910156, 375.4482116699219}","{254.29225158691406, 91.44580078125}",Missing[],"{373.9091796875, 525.0405883789062}"
