"{867.58642578125, 284.6121520996094}","{881.1666259765625, 512.2052001953125}","{607.9989624023438, 645.726806640625}","{352.6716613769531, 404.84063720703125}"
"{869.2178344726562, 285.0680847167969}","{880.269775390625, 513.2283935546875}","{609.5254516601562, 645.97705078125}","{354.6567077636719, 404.4234313964844}"
"{870.1298828125, 287.02069091796875}","{878.967529296875, 513.8426513671875}","{607.6398315429688, 646.066162109375}","{355.80303955078125, 406.31243896484375}"
"{873.6371459960938, 286.3124084472656}","{880.2487182617188, 512.014404296875}","{607.1531372070312, 646.8358764648438}","{357.16925048828125, 407.411865234375}"
"{873.642333984375, 287.7332763671875}","{880.6475830078125, 511.5908203125}","{606.4740600585938, 646.144287109375}","{357.55938720703125, 409.62738037109375}"
"{874.3343505859375, 288.8622741699219}","{881.8007202148438, 510.4965515136719}","{606.1837158203125, 648.0602416992188}","{358.0317077636719, 409.6327819824219}"
"{874.4908447265625, 289.21490478515625}","{881.0501708984375, 511.4748840332031}","{606.7359008789062, 647.6625366210938}","{356.47174072265625, 407.5669250488281}"
"{875.6699829101562, 290.0287170410156}","{883.335693359375, 509.9529724121094}","{608.3901977539062, 645.0531616210938}","{356.1712951660156, 406.3998718261719}"
"{875.6699829101562, 290.0287170410156}","{883.335693359375, 509.9529724121094}","{608.3901977539062, 645.0531616210938}","{356.1712951660156, 406.3998718261719}"
"{873.6259765625, 292.0412902832031}","{883.6239624023438, 508.45074462890625}","{608.7603149414062, 644.3406372070312}","{356.5494384765625, 407.7666015625}"
"{874.5281372070312, 291.3635559082031}","{882.9352416992188, 506.3746032714844}","{608.1766357421875, 644.1598510742188}","{354.82904052734375, 408.1444396972656}"
"{875.7520141601562, 292.2991638183594}","{882.6405029296875, 506.3742370605469}","{607.7186279296875, 644.5230102539062}","{354.0949401855469, 409.385986328125}"
"{874.9686279296875, 290.24066162109375}","{884.2827758789062, 505.0541687011719}","{608.478515625, 646.1123657226562}","{353.1048278808594, 409.37078857421875}"
"{873.4102783203125, 290.4407043457031}","{882.566162109375, 505.494873046875}","{606.85009765625, 645.0261840820312}","{355.5504455566406, 410.5517883300781}"
"{873.36572265625, 293.0226135253906}","{881.142578125, 506.69775390625}","{606.896728515625, 642.3301391601562}","{353.76666259765625, 410.6613464355469}"
"{872.083984375, 292.385009765625}","{883.52880859375, 505.2795104980469}","{607.9757080078125, 640.463134765625}","{352.11566162109375, 409.6321105957031}"
"{872.821533203125, 293.04205322265625}","{884.892822265625, 506.8243408203125}","{607.498291015625, 639.7503051757812}","{351.6102294921875, 409.1192321777344}"
"{870.3092041015625, 291.9690856933594}","{884.214599609375, 507.8109436035156}","{605.0810546875, 639.6707763671875}","{351.3946228027344, 407.5958557128906}"
