"{975.6337890625, 482.5770263671875}","{437.2913513183594, 336.5186462402344}","{571.7230834960938, 494.412353515625}","{493.05035400390625, 117.61102294921875}","{777.9010620117188, 101.110595703125}","{852.4745483398438, 359.4249267578125}","{839.5745849609375, 256.49859619140625}","{677.6312255859375, 350.145263671875}","{759.3194580078125, 299.1941223144531}","{674.8646850585938, 204.3934326171875}","{599.6470947265625, 264.2003173828125}","{476.09320068359375, 677.0606689453125}","{324.7023620605469, 599.8602905273438}","{316.4333801269531, 675.921630859375}"
"{975.2828369140625, 482.97314453125}","{437.736572265625, 337.0846252441406}","{571.3063354492188, 494.1965026855469}","{492.9085388183594, 117.66888427734375}","{776.47998046875, 102.72039794921875}","{855.1741333007812, 360.4039001464844}","{839.0867309570312, 257.11309814453125}","{676.5884399414062, 349.6294250488281}","{759.3633422851562, 301.39129638671875}","{673.4410400390625, 203.71258544921875}","{597.2479858398438, 265.99609375}","{478.4587097167969, 676.4037475585938}","{323.6360778808594, 601.0132446289062}","{315.8533020019531, 674.8566284179688}"
"{975.2044067382812, 483.0246276855469}","{437.69482421875, 336.2659912109375}","{571.0454711914062, 494.5389709472656}","{493.0149841308594, 116.6866455078125}","{777.0985107421875, 102.35797119140625}","{853.5409545898438, 360.9103088378906}","{836.69091796875, 258.46728515625}","{675.7145385742188, 349.20050048828125}","{759.8933715820312, 302.62908935546875}","{673.0208129882812, 204.59075927734375}","{593.6862182617188, 265.37750244140625}","{480.7383117675781, 677.3316650390625}","{323.4119873046875, 597.6546630859375}","{317.29254150390625, 676.3250732421875}"
"{972.9378662109375, 482.74755859375}","{436.0950927734375, 336.49346923828125}","{572.0819702148438, 494.2445373535156}","{492.7479248046875, 115.9296875}","{776.8264770507812, 102.264892578125}","{854.3029174804688, 361.1199951171875}","{837.1853637695312, 257.34259033203125}","{676.0635986328125, 350.08782958984375}","{759.1991577148438, 304.266357421875}","{673.763916015625, 205.09478759765625}","{593.9945068359375, 268.764892578125}","{480.5404052734375, 677.081298828125}","{323.46368408203125, 597.7147216796875}","{315.1015930175781, 676.1650390625}"
"{971.8275756835938, 482.4134216308594}","{435.5533447265625, 338.2643127441406}","{571.7465209960938, 494.759033203125}","{491.9906005859375, 115.8314208984375}","{776.8506469726562, 103.15484619140625}","{852.7325439453125, 361.1786193847656}","{835.1513061523438, 256.582275390625}","{679.5986328125, 350.7351379394531}","{756.0673828125, 305.6173400878906}","{675.533447265625, 204.2357177734375}","{595.5220947265625, 268.782470703125}","{481.2039489746094, 678.6006469726562}","{322.8457946777344, 598.67529296875}","{317.1322326660156, 674.4750366210938}"
"{972.1238403320312, 484.3337707519531}","{435.3242492675781, 336.65826416015625}","{571.9918823242188, 498.1080017089844}","{493.52606201171875, 116.07855224609375}","{778.40380859375, 99.737548828125}","{852.3005981445312, 362.63916015625}","{835.4215698242188, 254.86724853515625}","{678.9979248046875, 348.93359375}","{756.56103515625, 304.29217529296875}","{675.3814086914062, 204.456787109375}","{595.0438842773438, 267.1060485839844}","{480.8431701660156, 677.609619140625}","{323.2244873046875, 598.2972412109375}","{316.4962158203125, 675.14501953125}"
"{972.5091552734375, 483.82464599609375}","{434.85577392578125, 338.25543212890625}","{572.1607666015625, 498.2676696777344}","{492.1038513183594, 115.85833740234375}","{777.7849731445312, 98.24566650390625}","{852.9199829101562, 362.99212646484375}","{835.9286499023438, 255.40130615234375}","{677.1737670898438, 349.2325439453125}","{756.1412353515625, 303.4594421386719}","{675.088623046875, 202.76739501953125}","{595.7954711914062, 266.391845703125}","{479.8884582519531, 678.3219604492188}","{323.8666076660156, 599.306640625}","{313.8209228515625, 675.4469604492188}"
"{973.1492919921875, 484.9309387207031}","{432.4887390136719, 338.1366271972656}","{572.6223754882812, 501.2112121582031}","{492.9068908691406, 114.5291748046875}","{778.4326171875, 97.50177001953125}","{854.6064453125, 361.5067443847656}","{835.515380859375, 256.2663269042969}","{677.0155029296875, 346.2962341308594}","{755.964111328125, 305.5923156738281}","{675.9312744140625, 202.06396484375}","{596.8901977539062, 267.1594543457031}","{478.95257568359375, 678.0902099609375}","{322.714111328125, 600.8567504882812}","{313.10040283203125, 676.494873046875}"
"{972.8739013671875, 486.0506591796875}","{430.2922058105469, 336.06109619140625}","{572.7216186523438, 501.7803955078125}","{492.51629638671875, 114.93927001953125}","{778.47607421875, 96.09844970703125}","{856.3255615234375, 362.0981140136719}","{834.6459350585938, 252.49951171875}","{678.4948120117188, 345.8792724609375}","{757.3599853515625, 306.1134033203125}","{676.8956909179688, 200.69482421875}","{594.78125, 267.8678283691406}","{480.9420166015625, 677.862548828125}","{320.99017333984375, 601.8026123046875}","{313.2464294433594, 675.8822021484375}"
"{973.6090087890625, 487.38592529296875}","{431.1967468261719, 338.0078125}","{572.8151245117188, 504.1568298339844}","{492.9744567871094, 113.45428466796875}","{776.5529174804688, 95.47137451171875}","{857.2236938476562, 361.85137939453125}","{833.3436889648438, 252.24041748046875}","{677.7265625, 347.7852783203125}","{755.6434326171875, 307.51080322265625}","{676.0146484375, 199.26409912109375}","{593.1725463867188, 266.4590759277344}","{480.506103515625, 676.1441650390625}","{321.1763610839844, 603.6173706054688}","{313.9024658203125, 675.5015258789062}"
